channel_1,channel_2,time,timestamp
1.876132031250000000e+04,5.003770019531250000e+03,7.600000000000000000e+01,8.380452370469999732e+04
1.878676757812500000e+04,5.049979003906250000e+03,7.700000000000000000e+01,8.380452568150000297e+04
1.878151562500000000e+04,5.072415527343750000e+03,7.800000000000000000e+01,8.380452767130000575e+04
1.877456835937500000e+04,5.020341308593750000e+03,7.900000000000000000e+01,8.380452973819999897e+04
1.876929296875000000e+04,4.988523925781250000e+03,8.000000000000000000e+01,8.380453159759999835e+04
1.875825000000000000e+04,4.916000976562500000e+03,8.100000000000000000e+01,8.380453375410000444e+04
1.875699609375000000e+04,4.918746582031250000e+03,8.200000000000000000e+01,8.380453578930000367e+04
1.872763671875000000e+04,4.941953613281250000e+03,8.300000000000000000e+01,8.380453771489999781e+04
1.872540820312500000e+04,4.967062988281250000e+03,8.400000000000000000e+01,8.380453973340000084e+04
1.873993164062500000e+04,4.983152832031250000e+03,8.500000000000000000e+01,8.380454175230000692e+04
1.875128906250000000e+04,4.991799316406250000e+03,8.600000000000000000e+01,8.380454375090000394e+04
1.876177734375000000e+04,4.995810058593750000e+03,8.700000000000000000e+01,8.380454574739999953e+04
1.877261718750000000e+04,5.015343750000000000e+03,8.800000000000000000e+01,8.380454751889999898e+04
1.876466796875000000e+04,5.012369140625000000e+03,8.900000000000000000e+01,8.380454956379999931e+04
1.874906054687500000e+04,5.005504394531250000e+03,9.000000000000000000e+01,8.380455169639999804e+04
1.874318359375000000e+04,4.987692871093750000e+03,9.100000000000000000e+01,8.380455369660000724e+04
1.873852343750000000e+04,4.972711425781250000e+03,9.200000000000000000e+01,8.380455570529999386e+04
1.872996093750000000e+04,4.961932617187500000e+03,9.300000000000000000e+01,8.380455768209999951e+04
1.872680468750000000e+04,4.967159667968750000e+03,9.400000000000000000e+01,8.380455965660000220e+04
1.872196289062500000e+04,4.973132812500000000e+03,9.500000000000000000e+01,8.380456167599999753e+04
1.873971484375000000e+04,4.993497558593750000e+03,9.600000000000000000e+01,8.380456350709999970e+04
1.876274218750000000e+04,5.030553710937500000e+03,9.700000000000000000e+01,8.380456553449999774e+04
1.876778710937500000e+04,5.045174316406250000e+03,9.800000000000000000e+01,8.380456750390000525e+04
1.877173828125000000e+04,5.045402832031250000e+03,9.900000000000000000e+01,8.380456957920000423e+04
1.877002734375000000e+04,5.030096191406250000e+03,1.000000000000000000e+02,8.380457070140000724e+04
1.876106835937500000e+04,5.012910644531250000e+03,1.010000000000000000e+02,8.380457264790000045e+04
1.873648828125000000e+04,4.980334472656250000e+03,1.020000000000000000e+02,8.380457470260000264e+04
1.872271093750000000e+04,4.967015136718750000e+03,1.030000000000000000e+02,8.380457663080000202e+04
1.872607031250000000e+04,4.974517578125000000e+03,1.040000000000000000e+02,8.380457856059999904e+04
1.872607031250000000e+04,4.977769531250000000e+03,1.050000000000000000e+02,8.380458062829999835e+04
1.873642773437500000e+04,4.991077148437500000e+03,1.060000000000000000e+02,8.380458260080000036e+04
1.875663476562500000e+04,5.013477050781250000e+03,1.070000000000000000e+02,8.380458456069999374e+04
1.876640234375000000e+04,5.025218750000000000e+03,1.080000000000000000e+02,8.380458661379999830e+04
1.877030468750000000e+04,5.029915527343750000e+03,1.090000000000000000e+02,8.380458821440000611e+04
1.877612109375000000e+04,5.030963378906250000e+03,1.100000000000000000e+02,8.380459026080000331e+04
1.875549218750000000e+04,5.007551757812500000e+03,1.110000000000000000e+02,8.380459224620000168e+04
1.873053906250000000e+04,4.975637695312500000e+03,1.120000000000000000e+02,8.380459418729999743e+04
1.872212109375000000e+04,4.969604003906250000e+03,1.130000000000000000e+02,8.380459623330000613e+04
1.870595898437500000e+04,4.954936035156250000e+03,1.140000000000000000e+02,8.380459825189999538e+04
1.872251757812500000e+04,4.980780273437500000e+03,1.150000000000000000e+02,8.380460034790000645e+04
1.873798046875000000e+04,4.996893554687500000e+03,1.160000000000000000e+02,8.380460238599999866e+04
1.874324414062500000e+04,4.998158203125000000e+03,1.170000000000000000e+02,8.380460420859999431e+04
1.874609765625000000e+04,5.009129394531250000e+03,1.180000000000000000e+02,8.380460634870000649e+04
1.876128515625000000e+04,5.020485839843750000e+03,1.190000000000000000e+02,8.380460817930000485e+04
1.875481640625000000e+04,5.015355468750000000e+03,1.200000000000000000e+02,8.380461033149999275e+04
1.873988476562500000e+04,5.007696289062500000e+03,1.210000000000000000e+02,8.380461232230000314e+04
1.873118945312500000e+04,4.996592773437500000e+03,1.220000000000000000e+02,8.380461419110000134e+04
1.871589453125000000e+04,4.982104980468750000e+03,1.230000000000000000e+02,8.380461624770000344e+04
1.871522070312500000e+04,4.978094726562500000e+03,1.240000000000000000e+02,8.380461821099999361e+04
1.873602929687500000e+04,5.004781738281250000e+03,1.250000000000000000e+02,8.380462031630000274e+04
1.875097460937500000e+04,5.071632324218750000e+03,1.260000000000000000e+02,8.380462228359999426e+04
1.876651171875000000e+04,5.109724609375000000e+03,1.270000000000000000e+02,8.380462430660000246e+04
1.877542187500000000e+04,5.084759277343750000e+03,1.280000000000000000e+02,8.380462625479999406e+04
1.876652343750000000e+04,5.077533691406250000e+03,1.290000000000000000e+02,8.380462818050000351e+04
1.874631445312500000e+04,4.993774414062500000e+03,1.300000000000000000e+02,8.380463026259999606e+04
1.873802929687500000e+04,4.908871582031250000e+03,1.310000000000000000e+02,8.380463227849999384e+04
1.873383789062500000e+04,4.867864746093750000e+03,1.320000000000000000e+02,8.380463426209999307e+04
1.870016601562500000e+04,4.873946777343750000e+03,1.330000000000000000e+02,8.380463630260000355e+04
1.868122265625000000e+04,4.892179687500000000e+03,1.340000000000000000e+02,8.380463810300000478e+04
1.868063281250000000e+04,4.903789062500000000e+03,1.350000000000000000e+02,8.380463925540000491e+04
1.868713476562500000e+04,4.948589355468750000e+03,1.360000000000000000e+02,8.380464114910000353e+04
1.872549218750000000e+04,4.977119140625000000e+03,1.370000000000000000e+02,8.380464313979999861e+04
1.876272851562500000e+04,5.018257812500000000e+03,1.380000000000000000e+02,8.380464516939999885e+04
1.876889453125000000e+04,5.034696777343750000e+03,1.390000000000000000e+02,8.380464719899999909e+04
1.874860351562500000e+04,5.039875000000000000e+03,1.400000000000000000e+02,8.380464902219999931e+04
1.875927343750000000e+04,5.039706542968750000e+03,1.410000000000000000e+02,8.380465016540000215e+04
1.876079101562500000e+04,5.020859375000000000e+03,1.420000000000000000e+02,8.380465212240000255e+04
1.875116796875000000e+04,5.020859375000000000e+03,1.430000000000000000e+02,8.380465411360000144e+04
1.873845117187500000e+04,5.014006835937500000e+03,1.440000000000000000e+02,8.380465610860000015e+04
1.874596484375000000e+04,5.020498046875000000e+03,1.450000000000000000e+02,8.380465802679999615e+04
1.875970703125000000e+04,5.027627441406250000e+03,1.460000000000000000e+02,8.380466006140000536e+04
1.877712109375000000e+04,5.044860839843750000e+03,1.470000000000000000e+02,8.380466200729999400e+04
1.879781054687500000e+04,5.062949707031250000e+03,1.480000000000000000e+02,8.380466318040000624e+04
1.880463867187500000e+04,5.075919921875000000e+03,1.490000000000000000e+02,8.380466503439999360e+04
1.881753710937500000e+04,5.085783203125000000e+03,1.500000000000000000e+02,8.380466621599999780e+04
1.881399609375000000e+04,5.080170898437500000e+03,1.510000000000000000e+02,8.380466800689999945e+04
1.880000195312500000e+04,5.078653808593750000e+03,1.520000000000000000e+02,8.380467015210000682e+04
